Tiempo,Temperatura
145.77,26.50
145.97,26.50
146.17,27.00
146.38,27.00
146.58,27.00
146.78,27.00
146.99,27.00
147.19,26.75
147.40,26.75
147.60,27.25
147.81,27.00
148.01,27.25
148.22,26.50
148.42,27.25
148.63,27.25
148.83,27.25
149.04,27.25
149.24,27.50
149.44,27.50
149.65,27.00
149.85,27.50
150.06,27.25
150.27,27.25
150.48,27.25
150.68,27.75
150.89,27.50
151.09,27.75
151.30,27.25
151.51,27.75
151.71,27.75
151.91,27.50
152.12,27.75
152.32,27.50
152.53,27.75
152.73,27.50
152.94,27.75
153.14,27.75
153.35,27.75
153.55,27.75
153.76,27.75
153.96,27.75
154.16,28.00
154.37,27.00
154.57,28.00
154.78,28.00
154.98,28.00
155.19,28.00
155.39,28.00
155.59,28.00
155.81,28.00
156.01,28.00
156.22,28.00
156.42,28.25
156.63,28.50
156.83,28.25
157.04,28.00
157.24,28.25
157.44,28.25
157.65,28.25
157.85,28.50
158.06,28.25
158.26,28.25
158.47,28.50
158.67,28.00
158.87,28.50
159.08,28.50
159.28,28.25
159.49,28.75
159.69,28.25
159.89,28.50
160.10,28.50
160.31,28.25
160.51,28.50
160.71,28.75
160.91,28.25
161.13,28.75
161.34,29.00
161.54,28.75
161.74,28.75
161.95,29.00
162.15,29.00
162.37,28.25
162.57,28.75
162.78,28.50
162.98,28.75
163.19,29.25
163.39,29.00
163.59,29.25
163.80,29.25
164.01,28.75
164.21,29.25
164.41,29.00
164.62,29.25
164.82,29.25
165.03,29.25
165.23,29.50
165.44,29.00
165.64,29.50
165.84,29.25
166.05,29.00
166.25,29.25
166.46,29.50
166.66,29.50
166.87,29.00
167.07,29.50
167.27,29.25
167.48,29.00
167.68,29.50
167.88,29.50
168.09,30.00
168.29,29.50
168.49,29.75
168.70,29.75
168.90,29.50
169.10,30.00
169.31,30.00
169.51,29.50
169.72,29.75
169.92,30.00
170.13,30.25
170.33,29.75
170.53,29.75
170.74,29.75
170.94,30.00
171.15,30.00
171.36,30.00
171.56,30.25
171.76,29.50
171.97,30.00
172.17,29.75
172.37,30.50
172.58,30.50
172.78,30.25
172.99,30.50
173.19,30.25
173.39,30.50
173.60,30.25
173.80,30.50
174.01,30.50
174.21,30.75
174.41,30.25
174.62,30.25
174.82,30.75
175.03,30.75
176.95,30.25
176.99,30.50
177.01,30.25
177.03,30.50
177.05,30.25
177.09,30.75
177.12,30.75
177.14,30.75
177.18,31.25
177.21,31.00
177.65,30.50
177.68,30.75
177.73,31.00
177.93,31.00
